Lote,Fecha Compra,Proveedor,Producto,Categoría,Cantidad,Unidad,Precio Unitario,Valor Total
"JUMBO-20251227-001","2025-12-27","Jumbo","Arándanos","acompañantes",1,"Unidad",11700,11700
"JUMBO-20251227-001","2025-12-27","Jumbo","Baguette Cuisine & Co","acompañantes",2,"Unidad",12900,25800
"JUMBO-20251227-001","2025-12-27","Jumbo","Bolsa plástica","desechables",1,"Unidad",60,60
"JUMBO-20251227-001","2025-12-27","Jumbo","Cerveza Budweiser lata","cervezas",1,"Lata",5000,5000
"JUMBO-20251227-001","2025-12-27","Jumbo","Cerveza Heineken lata","cervezas",1,"Lata",6450,6450
"JUMBO-20251227-001","2025-12-27","Jumbo","Gaseosa Coca-Cola 2.5L","acompañantes",1,"Botella",15200,15200
"JUMBO-20251227-001","2025-12-27","Jumbo","Lechuga batavia (0.458 kg)","acompañantes",1,"Kilogramo",4580,4580
"JUMBO-20251227-001","2025-12-27","Jumbo","Mezcla de ají","acompañantes",1,"Unidad",3530,3530
"JUMBO-20251227-001","2025-12-27","Jumbo","Pan Resplandor","acompañantes",1,"Unidad",11500,11500
"JUMBO-20251227-001","2025-12-27","Jumbo","Queso Colanta","acompañantes",1,"Unidad",15900,15900
"JUMBO-20251227-001","2025-12-27","Jumbo","Tomate chonto (0.515 kg)","acompañantes",1,"Kilogramo",5180,5180
"LAMERCED-20260105-001","2026-01-05","La Merced","Pollo frito","acompañantes",1,"Unidad",34000,34000
"PATY-20260103-001","2026-01-03","Patty","Arándanos","insumos para café",1,"Unidad",25980,25980
"PATY-20260103-001","2026-01-03","Patty","Baguette CUI","insumos para café",1,"Unidad",12500,12500
"PATY-20260103-001","2026-01-03","Patty","Bolsa plástica (ICBP)","desechables",1,"Unidad",70,70
"PATY-20260103-001","2026-01-03","Patty","Caja de Carioca grande 380 ml","desechables",2,"Unidad",115000,230000
"PATY-20260103-001","2026-01-03","Patty","Cerveza Budweiser","licores para shots",4,"Botella",18000,72000
"PATY-20260103-001","2026-01-03","Patty","Cerveza Coronita","licores para shots",1,"Botella",22200,22200
"PATY-20260103-001","2026-01-03","Patty","Cerveza Heineken","licores para shots",1,"Botella",19200,19200
"PATY-20260103-001","2026-01-03","Patty","Cinta aislante Tesa","productos de limpieza",2,"Unidad",3800,7600
"PATY-20260103-001","2026-01-03","Patty","Cinta aislante Tesa colores 10 m","activos / insumos de mantenimiento",1,"Unidad",3800,3800
"PATY-20260103-001","2026-01-03","Patty","Festival palillos doble","acompañantes",2,"Paquete",2100,4200
"PATY-20260103-001","2026-01-03","Patty","Festival palillos doble punta x 180 uds","desechables",1,"Unidad",2100,2100
"PATY-20260103-001","2026-01-03","Patty","Jamón Cuisine","insumos para café",1,"Unidad",19990,19990
"PATY-20260103-001","2026-01-03","Patty","Lechuga batavia","insumos para café",1,"Unidad",2084,2084
"PATY-20260103-001","2026-01-03","Patty","Marlboro morado azul x20","productos regulados",4,"Cajetilla",14400,57600
"PATY-20260103-001","2026-01-03","Patty","Marlboro rojo verde x20","productos regulados",5,"Cajetilla",14400,72000
"PATY-20260103-001","2026-01-03","Patty","Marlboro rojo x20","productos regulados",1,"Cajetilla",13700,13700
"PATY-20260103-001","2026-01-03","Patty","Mezcla de ají","siropes y bases",1,"Unidad",5350,5350
"PATY-20260103-001","2026-01-03","Patty","Mezclador El Sol Dahu ZZI","siropes y bases",2,"Unidad",4900,9800
"PATY-20260103-001","2026-01-03","Patty","Mezclador de bambú El Sol x 500 uds","desechables",1,"Unidad",4900,4900
"PATY-20260103-001","2026-01-03","Patty","Mostaneza Rancho La Constancia","siropes y bases",2,"Unidad",6900,13800
"PATY-20260103-001","2026-01-03","Patty","Mostaneza Rancho La Constancia 190 g","acompañantes",1,"Unidad",6900,6900
"PATY-20260103-001","2026-01-03","Patty","Ponqué Ramo","acompañantes",1,"Unidad",18590,18590
"PATY-20260103-001","2026-01-03","Patty","Queso Colanta","insumos para café",1,"Unidad",11180,11180
"PATY-20260103-001","2026-01-03","Patty","Ron Viejo de Caldas Tradicional","licores",2,"Botella",51900,103800
"PATY-20260103-001","2026-01-03","Patty","Ron Viejo de Caldas Tradicional 750 ml","licores",1,"Botella",51900,51900
"PATY-20260103-001","2026-01-03","Patty","Sal Refisal","acompañantes",1,"Unidad",15790,15790
"PATY-20260103-001","2026-01-03","Patty","Salsa de tomate Bary Doy Pack 200 g","acompañantes",1,"Unidad",4100,4100
"PATY-20260103-001","2026-01-03","Patty","Salsa de tomate Bary doy pack","siropes y bases",2,"Pack",4100,8200
"PATY-20260103-001","2026-01-03","Patty","Salsa mayonesa Bary Doy Pack 200 g","acompañantes",1,"Unidad",4100,4100
"PATY-20260103-001","2026-01-03","Patty","Salsa mayonesa Bary doy pack","siropes y bases",2,"Pack",4400,8800
"PATY-20260103-001","2026-01-03","Patty","Soda Bretaña 1500 ml","siropes y bases",4,"Botella",3800,15200
"PATY-20260103-001","2026-01-03","Patty","Tapas para vaso 6 oz","desechables",1,"Pack",4600,4600
"PATY-20260103-001","2026-01-03","Patty","Tapas para vaso 6 oz bebida caliente","desechables",1,"Pack",4600,4600
"PATY-20260103-001","2026-01-03","Patty","Toalla higiénica Kotex tela antibacter","productos de limpieza / bioseguridad",1,"Unidad",3950,3950
"PATY-20260103-001","2026-01-03","Patty","Toallas higiénicas Kotex x10","productos de limpieza",2,"Paquete",3950,7900
"PATY-20260103-001","2026-01-03","Patty","Tomate chonto","insumos para café",1,"Unidad",2668,2668
"PROVEEDORCAFE-20260112-001","2026-01-12","Proveedor Café","Café La Jacoba","insumos para café",1,"Paquete",37000,37000
"PROVEEDORCAFE-20260112-001","2026-01-12","Proveedor Café","Café especial Buesaco","insumos para café",1,"Paquete",37000,37000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Aguardiente","licores para shots",1,"Botella",51900,51900
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Aguardiente Nariño","licores para shots",3,"Botella",51900,155700
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Aromáticas","insumos para café",1,"Unidad",4000,4000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Azúcar","insumos para café",1,"Bolsa",5000,5000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Base cóctel Brissart granadina","siropes y bases",1,"Botella",25200,25200
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Base cóctel Brissart maracuyá","siropes y bases",1,"Botella",25200,25200
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Base cóctel Finest Call Triple Sec","siropes y bases",1,"Botella",33300,33300
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Bolsa para colar café","insumos para café",2,"Unidad",5900,11800
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Bombillo Philips 5.5W","activos",1,"Unidad",2950,2950
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Bretaña","siropes y bases",1,"Botella",5000,5000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Bretaña personal x6","siropes y bases",1,"Paquete",12000,12000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Cafetera moka","activos",1,"Unidad",30000,30000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Café Instantáneo","insumos para café",1,"Frasco",11000,11000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Café Sello Rojo","insumos para café",2,"Paquete",16000,32000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Caja de Icopor","desechables",1,"Pack",13000,13000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Caja de madera","activos",1,"Unidad",14000,14000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Cenicero","activos",1,"Unidad",100000,100000
"PROVEEDORNOE-20241201-001","2024-12-01","Proveedor no especificado","Chapil artesanal","licores para shots",0.3,"Botella",10000,3000
